artist_id,artist_name
12041068,白敬亭
27693730,白一阳
12647412,巴图
1053147,笨笨口琴
12131640,冰山来客
2087,波拉
2033,包朝克
14100563,白菜
2103,血男孩
2034,鲍比达
12457194,边江
816079,薄彩生
12090249,孛儿只斤·包迪
2059,毕书尽
1038371,BC Production
1081918,Ballrockin
2055,白天不亮
12279094,鲍鹏
12108685,BLOW
2049,卞留念
1044102,B.M.C
2048,百慕三石
1078363,巴顿
1047011,白客
2101,Barry
1038088,贝歌
868113,BigKey
14100790,北疯
2032,贝玛千贝仁波切
2060,白羽
1057198,B.C.W.懒领阶级
1032373,边远
13706227,表哥
1078050,BHTY-R
1060060,斑辣个马
1150216,巴图
1060124,周迪
11992127,包贝尔
12263538,白凯南
12344330,BackToBand
969082,背背
2025,B6
2027,卜学亮
12263329,白泽
12817024,白静晨
1094177,包威尔
2061,包伍
12107259,白勺
1057274,包青山
13568181,鲍越
29148292,巴巴烙
2065,布川
1106064,半梦
12493121,YoungBoyDan
1132662,鲍昕宇Aspada
1040104,Blindman
1038354,边边
12141067,巴音
27692361,北木森
1049372,白浩
14714187,薄云天
1047265,波仔
228408,Bloody Woods
2050,白音孟和
12355027,白应鑫
1008035,BillySmith
1044046, 梁靖如
2071,白龙
27692515,北超超
1087669,BK532
2073,鲍元恺
2052,比利
1065002,Bikman
1132200,包胡尔查
1040095,菠萝大哥
2089,布朗
2116,陈奕迅
1058228,陈鸿宇
13056440,陈立农
2112,陈小春
12131566,CLOUD WANG
2127,陈柏宇
2201,陈势安
2117,侧田
2115,陈百强
12634049,丛铭君
2110,曹格
2118,成龙
2124,陈楚生
2121,蔡旻佑
12132471,陈信喆
2122,陈冠希
1044054,R7CKY
963409,陈学冬
1084178,Candy_Wind
2150,陈冠蒲
964450,陈奕夫
2111,崔健
2230,陈雅森
2159,曹轩宾
2153,常石磊
2331,陈翔
6557,曾一鸣
2294,陈光荣
963431,陈致逸
12010027,陈柏霖
31055,Cee
2125,陈晓东
2130,蔡国权
1043290,传琦SAMA
1041027,Chace
12023426,Carta
2135,陈勋奇
2147,陈旭
1046063,蔡方萌
1007135,陈小虎
2113,车继铃
168021,陈俊彤
2312,C AllStar
189379,陈鹏杰
224360,陈亮
1132979,蔡照
1124141,残泪杰
13057490,陈斯琪
2131,川子
2204,陈辉权
13059431,陈名豪
900139,曾经艺也
2141,陈雷
6608,曾志伟
2134,陈坤
2164,陈伟霆
991003,崔跃文
2414,曹越
2448,曹秦
13228454,蔡威泽
2209,陈少华
6862,曾志豪
14471208,陈丙
168042,曹寅
2133,陈奂仁
2276,崔京浩
1014024,茶季杨
1152025,陈知&游园惊梦
1080133,陈乐基
727005,陈赫
1149014,厨房仔
2138,陈浩民
2375,蔡志展
12312092,曹方瑞
958173,才让东珠
1043304,曹思义
2202,陈其钢
14713124,陈彦希REGI
12301031,陈圣夫
2174,陈底里
2330,晨熙
941023,曹槽
826307,陈晓
12091078,崔航
1081291,CloudINJoke
2336,程池
2119,蔡国庆
1060096,大彻
2213,苍茫
13057491,陈义夫
1049979,陈建斌
1028199,菜小宝丶
2428,陈劭康KOMIC
12202279,崔子千
1023094,陈浩东
2440,陈伟伦
1135118,陈咏谦
2168,陈彼得
2338,船长
2132,陈建骐
12054456,董又霖
12333145,Dragon Pig
2524,大张伟
2517,刀郎
791534,戴荃
2569,丁可
13058489,丁泽仁
2516,迪克牛仔
12440042,邓伦
2699,东篱
12291332,dj
671001,东南
2514,蛋堡
2623,邓超
1088061,DELA
13056441,邓烺怡
12250324,DJ马哥
188681,大鹏
896942,冬子
2515,窦唯
1203015,Dough-Boy
1135138,DJ浩宝
947023,董冬冬
2513,冬子
1053107,DJ建斌
2522,杜德伟
1087662,董昱昆
2578,大冰
2607,多亮
2614,大哲
5068,单色凌
2545,丁于
1049022,烛鷷大魔王
2518,东来东往
1038381,DJ张扬
189918,杜海涛
12194338,DJ阿奇
12273260,董子健
2520,东山少爷
12787446,杜佳阳
1057162,德格叶
2531,邓健泓
13059432,董岩磊
12154277,DJ
783379,杜歌
2519,董运昌
2527,DJ宝贝
1079143,蛋卷
2591,单小源
2528,刁寒
1078398,D-Lay
1081526,大痒痒
12810118,旦增才让
12894239,丁世光
2525,戴玉强
27695243,大一学长
12040073,丁冠森
2675,杜淳
2888,狄易达
13933117,大泫
1050280,于亮
2532,丁咚
12046643,杜天皓
2605,丁汀
2562,窦智孔
2682,丁炜
1058138,大琴师音乐游戏
2548,杜聪
1085030,敌门
